序号,公司名,职位名,薪资,工作地点,经验要求,学历要求,公司规模/行业,涉及交付物,技能要求,涉及领域
01,杏魂网络,医学编辑,8-12k,苏州·虎丘区(近2号线独墅湖邻里中心地铁站),1-3年,本科,不需要融资 · 0-20人 · 广告/公关/会展,PPT/幻灯 | 公众号/推文 | SCI论文 | 文献检索/翻译 | 科普文章 | 审核/校对 | 翻译(中英),英语六级+ | Office办公 | 医学文献检索,生物制药
02,苏州良医汇网络科技有限公司,医学编辑,10-15K,苏州:娄葑(近5号线黄天荡地铁站),1-3年,硕士,C轮 · 100-499人 · 医疗健康,学术会议/报道 | 科普文章 | 审核/校对,,肿瘤
03,苏州科林利康医药科技股份有限公司,医学专员,15-25K,苏州:苏州工业园区:独墅湖(近8号线裕新路地...,3-5年,本科,未融资 · 500-999人 · 医疗服务,临床方案/报告 | 审核/校对,GCP知识,临床试验/CRO
04,苏州大学附属儿童医院,医学编辑,12-17K,苏州:虎丘区:科技城,5-10年,硕士,,公众号/推文 | SCI论文 | 数据分析/统计,新媒体运营,医疗器械
05,中生(苏州)医疗科技有限公司,医学编辑,12-17K,苏州:虎丘区:科技城,5-10年,硕士,100-499人 · 医疗器械,公众号/推文 | SCI论文 | 数据分析/统计,Office办公 | 新媒体运营,免疫 | 医疗器械
06,苏州科林利康医药科技股份有限公司,医学撰写,13-18K·13薪,苏州:虎丘区(近8号线裕新路地铁站),1-3年,硕士,未融资 · 500-999人 · 医疗服务,临床方案/报告 | 审核/校对,GCP知识,临床试验/CRO
07,亿航生物,医学编辑,10-15k·13薪,苏州:虎丘区:斜塘,1-3年,硕士,,PPT/幻灯 | 公众号/推文 | SCI论文 | 文献检索/翻译 | 学术会议/报道 | 科普文章 | 数据分析/统计 | 产品宣传资料 | 文献综述/解读,医学文献检索 | SCI写作经验,外泌体
08,某生物公司,医学撰写,20-22K,客户公司 :某生物公司,1-3年,本科,20-99人 · 生物/制药,临床方案/报告 | 审核/校对 | 翻译(中英),,临床试验/CRO | 生物制药
09,苏州筋斗云生命科技有限公司,医学编辑,8-12K,苏州:虎丘区:科技城,经验不限,硕士,0-20人 · 生物/制药,文献检索/翻译 | 审核/校对,医学文献检索 | 统计/作图软件,生物制药
10,梅斯医学,学术编辑,13-25K,上海:徐汇区:徐家汇(近3/4/9号线宜山路地铁站),经验不限,硕士,不需要融资 · 500-999人 · 医疗健康,SCI论文 | 文献综述/解读 | 审核/校对 | 翻译(中英),,肿瘤 | 心血管 | 免疫
11,苏州德臻生物科技有限公司,临床医学编辑,10-15K,苏州:独墅湖(近2号线月亮湾地铁站),经验不限,硕士,不需要融资 · 20-99人 · 咨询,标书/课题设计,,
